caseid,Block,congruency,correct,response_time
1,Load 3 (Low),congruent,0.945205479,0.802954152
1,Load 3 (Low),incongruent,0.981132075,0.767358491
1,Load 6 (High),congruent,0.79047619,0.84401128
1,Load 6 (High),incongruent,0.8,0.884682834
2,Load 3 (Low),congruent,0.950819672,0.635792339
2,Load 3 (Low),incongruent,0.876923077,0.623602697
2,Load 6 (High),congruent,0.911111111,0.663704074
2,Load 6 (High),incongruent,0.922222222,0.668863118
3,Load 3 (Low),congruent,0.868852459,0.596495384
3,Load 3 (Low),incongruent,0.876923077,0.603816497
3,Load 6 (High),congruent,0.955555556,0.850280833
3,Load 6 (High),incongruent,0.911111111,0.765113806
4,Load 3 (Low),congruent,0.950819672,1.001631298
4,Load 3 (Low),incongruent,0.953846154,0.847612377
4,Load 6 (High),congruent,0.966666667,0.731716397
4,Load 6 (High),incongruent,0.944444444,0.73985402
5,Load 3 (Low),congruent,0.836065574,0.955619954
5,Load 3 (Low),incongruent,0.738461538,0.975581788
5,Load 6 (High),congruent,0.833333333,1.050824549
5,Load 6 (High),incongruent,0.744444444,1.027852436
6,Load 3 (Low),congruent,0.885245902,0.548652648
6,Load 3 (Low),incongruent,0.830769231,0.545856338
6,Load 6 (High),congruent,0.866666667,0.820560544
6,Load 6 (High),incongruent,0.888888889,0.818922884
7,Load 3 (Low),congruent,1,0.716894364
7,Load 3 (Low),incongruent,1,0.671381328
7,Load 6 (High),congruent,0.988888889,0.770280156
7,Load 6 (High),incongruent,1,0.667686148
8,Load 3 (Low),congruent,0.950819672,0.876885344
8,Load 3 (Low),incongruent,0.907692308,0.930945729
8,Load 6 (High),congruent,0.944444444,1.060401182
8,Load 6 (High),incongruent,0.955555556,1.134180547
9,Load 3 (Low),congruent,1,0.580958502
9,Load 3 (Low),incongruent,0.938461538,0.599160497
9,Load 6 (High),congruent,0.966666667,0.733589051
9,Load 6 (High),incongruent,0.977777778,0.708914098
10,Load 3 (Low),congruent,0.967213115,0.745914139
10,Load 3 (Low),incongruent,0.923076923,0.682633183
10,Load 6 (High),congruent,0.977777778,0.757883537
10,Load 6 (High),incongruent,0.988888889,0.708708913
11,Load 3 (Low),congruent,0.983606557,0.648490418
11,Load 3 (Low),incongruent,0.938461538,0.687106195
11,Load 6 (High),congruent,0.977777778,0.651134189
11,Load 6 (High),incongruent,0.988888889,0.691113187
12,Load 3 (Low),congruent,0.93442623,0.625609348
12,Load 3 (Low),incongruent,0.923076923,0.634366828
12,Load 6 (High),congruent,0.966666667,0.545471937
12,Load 6 (High),incongruent,0.988888889,0.59669208
13,Load 3 (Low),congruent,0.983606557,0.59774008
13,Load 3 (Low),incongruent,0.907692308,0.656297063
13,Load 6 (High),congruent,0.911111111,0.848388594
13,Load 6 (High),incongruent,0.888888889,0.830258749
14,Load 3 (Low),congruent,0.852459016,0.785970492
14,Load 3 (Low),incongruent,0.830769231,0.840969231
14,Load 6 (High),congruent,0.811111111,1.123822222
14,Load 6 (High),incongruent,0.755555556,1.05625
15,Load 3 (Low),congruent,0.950819672,0.598191803
15,Load 3 (Low),incongruent,0.907692308,0.595615385
15,Load 6 (High),congruent,0.733333333,0.681514444
15,Load 6 (High),incongruent,0.877777778,0.631255556
16,Load 3 (Low),congruent,0.93442623,1.047360656
16,Load 3 (Low),incongruent,0.969230769,0.991138462
16,Load 6 (High),congruent,0.966666667,1.173655556
16,Load 6 (High),incongruent,0.922222222,1.194088889
17,Load 3 (Low),congruent,0.983606557,0.423022951
17,Load 3 (Low),incongruent,0.876923077,0.460701538
17,Load 6 (High),congruent,0.955555556,0.479618889
17,Load 6 (High),incongruent,0.877777778,0.522321111
18,Load 3 (Low),congruent,0.967213115,0.724152459
18,Load 3 (Low),incongruent,0.953846154,0.716218462
18,Load 6 (High),congruent,0.877777778,0.829142222
18,Load 6 (High),incongruent,0.855555556,0.853241111
19,Load 3 (Low),congruent,0.983606557,0.583954098
19,Load 3 (Low),incongruent,0.953846154,0.606026154
19,Load 6 (High),congruent,0.966666667,0.66395
19,Load 6 (High),incongruent,0.955555556,0.63257
20,Load 3 (Low),congruent,0.93442623,0.827518033
20,Load 3 (Low),incongruent,0.969230769,0.743895385
20,Load 6 (High),congruent,0.966666667,0.816742222
20,Load 6 (High),incongruent,0.955555556,0.896358889
21,Load 3 (Low),congruent,1,0.886260656
21,Load 3 (Low),incongruent,0.861538462,0.85374
21,Load 6 (High),congruent,0.988888889,0.970934444
21,Load 6 (High),incongruent,0.888888889,0.954452222
22,Load 3 (Low),congruent,0.967213115,0.830391803
22,Load 3 (Low),incongruent,0.953846154,0.735526154
22,Load 6 (High),congruent,0.877777778,0.82658
22,Load 6 (High),incongruent,0.866666667,0.891216667
23,Load 3 (Low),congruent,0.983606557,0.621970492
23,Load 3 (Low),incongruent,0.969230769,0.61258
23,Load 6 (High),congruent,0.844444444,0.777723333
23,Load 6 (High),incongruent,0.755555556,0.735083333
24,Load 3 (Low),congruent,1,0.642655738
24,Load 3 (Low),incongruent,0.953846154,0.719344615
24,Load 6 (High),congruent,0.933333333,0.893076667
24,Load 6 (High),incongruent,1,0.739825556
25,Load 3 (Low),congruent,1,0.655177049
25,Load 3 (Low),incongruent,1,0.693936923
25,Load 6 (High),congruent,0.955555556,0.888892222
25,Load 6 (High),incongruent,0.955555556,0.827787778
26,Load 3 (Low),congruent,0.967213115,0.833455738
26,Load 3 (Low),incongruent,0.984615385,0.762324615
26,Load 6 (High),congruent,0.9,0.969243333
26,Load 6 (High),incongruent,0.911111111,0.963231111
27,Load 3 (Low),congruent,0.950819672,0.551559016
27,Load 3 (Low),incongruent,0.969230769,0.595629231
27,Load 6 (High),congruent,0.888888889,0.861307778
27,Load 6 (High),incongruent,0.922222222,0.837021111
28,Load 3 (Low),congruent,0.918032787,0.595568852
28,Load 3 (Low),incongruent,0.876923077,0.617118462
28,Load 6 (High),congruent,0.888888889,0.741553333
28,Load 6 (High),incongruent,0.933333333,0.706042222
29,Load 3 (Low),congruent,0.967213115,0.573640984
29,Load 3 (Low),incongruent,0.953846154,0.583892308
29,Load 6 (High),congruent,0.944444444,0.587084444
29,Load 6 (High),incongruent,0.966666667,0.637694444
30,Load 3 (Low),congruent,0.983606557,0.532003279
30,Load 3 (Low),incongruent,0.969230769,0.537424615
30,Load 6 (High),congruent,0.955555556,0.603441111
30,Load 6 (High),incongruent,1,0.594736667
31,Load 3 (Low),congruent,0.967213115,0.595747541
31,Load 3 (Low),incongruent,0.892307692,0.639666154
31,Load 6 (High),congruent,0.955555556,0.706715556
31,Load 6 (High),incongruent,0.955555556,0.694848889
32,Load 3 (Low),congruent,0.918032787,0.733037705
32,Load 3 (Low),incongruent,0.938461538,0.687193846
32,Load 6 (High),congruent,0.866666667,0.938094444
32,Load 6 (High),incongruent,0.877777778,0.993076667
33,Load 3 (Low),congruent,0.93442623,0.719867213
33,Load 3 (Low),incongruent,0.876923077,0.816938462
33,Load 6 (High),congruent,0.966666667,0.8511
33,Load 6 (High),incongruent,0.877777778,0.934412222
34,Load 3 (Low),congruent,0.901639344,0.825037705
34,Load 3 (Low),incongruent,0.830769231,0.923346154
34,Load 6 (High),congruent,0.822222222,1.504074444
34,Load 6 (High),incongruent,0.877777778,1.199774444
35,Load 3 (Low),congruent,1,0.688718033
35,Load 3 (Low),incongruent,0.876923077,0.743690769
35,Load 6 (High),congruent,0.777777778,0.819652222
35,Load 6 (High),incongruent,0.766666667,0.794527778
36,Load 3 (Low),congruent,0.983606557,0.528018033
36,Load 3 (Low),incongruent,0.969230769,0.56696
36,Load 6 (High),congruent,0.966666667,0.767902222
36,Load 6 (High),incongruent,1,0.698185556
