Stimulus_Pair,response,correct,Block,phase,pers,delay,rpred,caseid
jungle2.png,m,0,3,train,0.0,0.0,0.0,1
jungle1.png,m,0,3,train,0.0,0.0,0.0,1
jungle3.png,z,0,3,train,0.0,0.0,0.0,1
jungle1.png,m,0,3,train,1.0,0.0,0.0,1
jungle3.png,z,0,3,train,1.0,0.0,0.0,1
jungle2.png,m,0,3,train,1.0,0.0,0.0,1
jungle3.png,z,0,3,train,1.0,0.0,0.0,1
jungle2.png,m,0,3,train,1.0,0.0,0.0,1
jungle1.png,z,1,3,train,0.0,0.0,0.0,1
jungle1.png,z,1,3,train,0.0,1.0,1.0,1
jungle2.png,z,1,3,train,0.0,0.0,0.0,1
jungle3.png,z,0,3,train,1.0,0.0,0.0,1
jungle3.png,m,1,3,train,0.0,0.0,0.0,1
jungle1.png,z,1,3,train,0.0,4.0,2.0,1
jungle2.png,z,1,3,train,0.0,4.0,1.0,1
jungle3.png,m,1,3,train,0.0,3.0,1.0,1
jungle1.png,z,1,3,train,0.0,3.0,3.0,1
jungle2.png,z,1,3,train,0.0,3.0,2.0,1
jungle1.png,m,0,3,train,1.0,2.0,4.0,1
jungle3.png,m,1,3,train,0.0,4.0,2.0,1
jungle2.png,z,1,3,train,0.0,3.0,3.0,1
jungle3.png,m,1,3,train,0.0,2.0,3.0,1
jungle2.png,z,1,3,train,0.0,2.0,4.0,1
jungle1.png,m,0,3,train,1.0,7.0,4.0,1
jungle2.png,z,1,3,train,0.0,2.0,5.0,1
jungle3.png,m,1,3,train,0.0,4.0,4.0,1
jungle1.png,z,1,3,train,0.0,10.0,4.0,1
jungle1.png,z,1,3,train,0.0,1.0,5.0,1
jungle2.png,z,1,3,train,0.0,4.0,6.0,1
jungle3.png,m,1,3,train,0.0,4.0,5.0,1
jungle2.png,z,1,3,train,0.0,2.0,7.0,1
jungle3.png,m,1,3,train,0.0,2.0,6.0,1
jungle1.png,z,1,3,train,0.0,5.0,6.0,1
jungle2.png,z,1,3,train,0.0,3.0,8.0,1
jungle1.png,z,1,3,train,0.0,2.0,7.0,1
jungle3.png,m,1,3,train,0.0,4.0,7.0,1
vegan (3).png,m,0,6,train,0.0,0.0,0.0,1
vegan (6).png,m,0,6,train,0.0,0.0,0.0,1
vegan (4).png,m,0,6,train,0.0,0.0,0.0,1
vegan (5).png,z,0,6,train,0.0,0.0,0.0,1
vegan (1).png,m,1,6,train,0.0,0.0,0.0,1
vegan (2).png,m,1,6,train,0.0,0.0,0.0,1
vegan (6).png,m,0,6,train,1.0,0.0,0.0,1
vegan (1).png,z,0,6,train,0.0,3.0,1.0,1
vegan (5).png,m,1,6,train,0.0,0.0,0.0,1
vegan (4).png,z,1,6,train,0.0,0.0,0.0,1
